City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,bredasdorp,ZA,-34.5322,20.0403,63.43,86,99,5.88,overcast clouds,0.0,0.0
1,roebourne,AU,-20.7833,117.1333,79.66,36,7,6.31,clear sky,0.0,0.0
2,ushuaia,AR,-54.8,-68.3,56.86,58,75,5.75,broken clouds,0.0,0.0
3,shubarkuduk,KZ,49.1447,56.4872,56.62,74,100,11.65,overcast clouds,0.0,0.0
4,vardo,NO,70.3705,31.1107,29.61,72,91,7.78,overcast clouds,0.0,0.0
5,port alfred,ZA,-33.5906,26.891,62.19,94,52,4.0,broken clouds,0.0,0.0
6,dalbandin,PK,28.8947,64.4101,73.2,10,0,3.38,clear sky,0.0,0.0
7,amuntai,ID,-2.4177,115.2494,73.09,99,86,0.81,overcast clouds,0.0,0.0
8,puerto ayora,EC,-0.7393,-90.3518,84.16,79,75,10.36,broken clouds,0.0,0.0
9,guerrero negro,MX,27.9769,-114.0611,70.7,37,22,16.22,few clouds,0.0,0.0
10,itarema,BR,-2.9248,-39.9167,77.94,85,53,7.45,broken clouds,0.0,0.0
11,albany,US,42.6001,-73.9662,74.03,55,74,5.55,broken clouds,0.0,0.0
12,road town,VG,18.4167,-64.6167,80.69,69,20,11.5,few clouds,0.0,0.0
13,ibatiba,BR,-20.2339,-41.5106,68.43,93,35,1.36,scattered clouds,0.0,0.0
14,cidreira,BR,-30.1811,-50.2056,68.05,72,100,7.61,overcast clouds,0.0,0.0
15,hobart,AU,-42.8794,147.3294,52.27,84,0,6.91,light rain,0.13,0.0
16,kapaa,US,22.0752,-159.319,82.38,80,20,12.66,few clouds,0.0,0.0
17,mataura,NZ,-46.1927,168.8643,52.48,68,61,2.37,light rain,0.97,0.0
18,dikson,RU,73.5069,80.5464,22.71,95,100,11.39,overcast clouds,0.0,0.0
19,punta arenas,CL,-53.15,-70.9167,55.51,67,20,39.12,few clouds,0.0,0.0
20,shihezi,CN,44.3,86.0333,52.9,14,45,2.13,scattered clouds,0.0,0.0
21,sobolevo,RU,54.4299,31.8996,34.23,90,23,7.27,few clouds,0.0,0.0
22,nishihara,JP,26.1842,127.7558,72.68,87,75,5.75,broken clouds,0.0,0.0
23,hermanus,ZA,-34.4187,19.2345,63.72,88,100,8.84,light rain,0.11,0.0
24,tilichiki,RU,60.4667,166.1,18.59,87,100,9.75,overcast clouds,0.0,0.0
25,cape town,ZA,-33.9258,18.4232,65.12,86,0,18.41,clear sky,0.0,0.0
26,saint-philippe,RE,-21.3585,55.7679,74.79,89,81,16.17,light rain,0.95,0.0
27,torbay,CA,47.6666,-52.7314,34.29,93,100,23.02,light snow,0.0,0.0
28,hamilton,US,39.1834,-84.5333,69.73,85,40,14.97,scattered clouds,0.0,0.0
29,busselton,AU,-33.65,115.3333,52.59,87,0,8.25,clear sky,0.0,0.0
